23.08.2017;28;16;32;49;23;25;;;;;;;;;;;;;;;;;;;;;;;
26.08.2017;19;2;28;11;24;49;;;;;;;;;;;;;;;;;;;;;;;
30.08.2017;29;5;9;34;21;7;;;;;;;;;;;;;;;;;;;;;;;
02.09.2017;14;5;8;3;34;33;;;;;;;;;;;;;;;;;;;;;;;
06.09.2017;33;12;48;19;16;28;;;;;;;;;;;;;;;;;;;;;;;
09.09.2017;40;14;49;8;18;27;;;;;;;;;;;;;;;;;;;;;;;
13.09.2017;17;40;18;11;30;16;;;;;;;;;;;;;;;;;;;;;;;
16.09.2017;47;27;31;35;21;26;;;;;;;;;;;;;;;;;;;;;;;
20.09.2017;36;28;3;46;9;30;;;;;;;;;;;;;;;;;;;;;;;
23.09.2017;10;15;44;19;23;38;;;;;;;;;;;;;;;;;;;;;;;
27.09.2017;33;31;25;20;37;17;;;;;;;;;;;;;;;;;;;;;;;
30.09.2017;46;23;18;19;4;33;;;;;;;;;;;;;;;;;;;;;;;
04.10.2017;45;17;19;11;15;16;;;;;;;;;;;;;;;;;;;;;;;
07.10.2017;24;21;11;20;49;30;;;;;;;;;;;;;;;;;;;;;;;
11.10.2017;42;6;3;17;21;20;;;;;;;;;;;;;;;;;;;;;;;
14.10.2017;13;10;35;7;40;9;;;;;;;;;;;;;;;;;;;;;;;
18.10.2017;38;10;11;13;7;4;;;;;;;;;;;;;;;;;;;;;;;
21.10.2017;15;4;25;34;10;46;;;;;;;;;;;;;;;;;;;;;;;
25.10.2017;1;18;42;29;32;36;;;;;;;;;;;;;;;;;;;;;;;
28.10.2017;22;1;36;24;33;20;;;;;;;;;;;;;;;;;;;;;;;
01.11.2017;18;15;8;31;3;21;;;;;;;;;;;;;;;;;;;;;;;
04.11.2017;21;47;46;14;3;7;;;;;;;;;;;;;;;;;;;;;;;
08.11.2017;7;37;43;14;38;24;;;;;;;;;;;;;;;;;;;;;;;
11.11.2017;7;1;19;16;11;37;;;;;;;;;;;;;;;;;;;;;;;
15.11.2017;6;23;46;40;35;45;;;;;;;;;;;;;;;;;;;;;;;
18.11.2017;9;5;2;35;20;12;;;;;;;;;;;;;;;;;;;;;;;
22.11.2017;28;29;32;24;48;34;;;;;;;;;;;;;;;;;;;;;;;
25.11.2017;20;37;17;11;26;43;;;;;;;;;;;;;;;;;;;;;;;
29.11.2017;32;9;30;16;25;28;;;;;;;;;;;;;;;;;;;;;;;
02.12.2017;17;33;18;12;13;3;;;;;;;;;;;;;;;;;;;;;;;
06.12.2017;29;18;11;43;35;19;;;;;;;;;;;;;;;;;;;;;;;
09.12.2017;25;12;46;16;20;7;;;;;;;;;;;;;;;;;;;;;;;
13.12.2017;3;17;2;9;27;14;;;;;;;;;;;;;;;;;;;;;;;
16.12.2017;40;30;5;23;6;18;;;;;;;;;;;;;;;;;;;;;;;
20.12.2017;35;8;13;39;44;38;;;;;;;;;;;;;;;;;;;;;;;
23.12.2017;39;38;11;32;4;31;;;;;;;;;;;;;;;;;;;;;;;
27.12.2017;46;45;37;19;17;31;;;;;;;;;;;;;;;;;;;;;;;
30.12.2017;37;48;27;11;12;14;;;;;;;;;;;;;;;;;;;;;;;
03.01.2018;45;10;34;31;15;35;;;;;;;;;;;;;;;;;;;;;;;
06.01.2018;37;47;46;32;5;14;;;;;;;;;;;;;;;;;;;;;;;
10.01.2018;24;25;3;45;22;43;;;;;;;;;;;;;;;;;;;;;;;
13.01.2018;14;31;48;6;5;16;;;;;;;;;;;;;;;;;;;;;;;
17.01.2018;32;48;13;3;27;25;;;;;;;;;;;;;;;;;;;;;;;
20.01.2018;3;45;11;33;18;15;;;;;;;;;;;;;;;;;;;;;;;
24.01.2018;37;5;45;31;18;3;;;;;;;;;;;;;;;;;;;;;;;
27.01.2018;34;24;22;43;4;36;;;;;;;;;;;;;;;;;;;;;;;
31.01.2018;6;26;3;38;8;29;;;;;;;;;;;;;;;;;;;;;;;
03.02.2018;5;39;48;13;20;9;;;;;;;;;;;;;;;;;;;;;;;
07.02.2018;15;41;28;20;25;33;;;;;;;;;;;;;;;;;;;;;;;
10.02.2018;27;41;45;20;17;35;;;;;;;;;;;;;;;;;;;;;;;
14.02.2018;22;16;20;23;24;6;;;;;;;;;;;;;;;;;;;;;;;
17.02.2018;27;15;42;37;18;26;;;;;;;;;;;;;;;;;;;;;;;
21.02.2018;29;47;6;8;40;3;;;;;;;;;;;;;;;;;;;;;;;
24.02.2018;27;33;41;18;44;47;;;;;;;;;;;;;;;;;;;;;;;
28.02.2018;6;15;32;43;47;36;;;;;;;;;;;;;;;;;;;;;;;
03.03.2018;5;37;28;44;24;40;;;;;;;;;;;;;;;;;;;;;;;
07.03.2018;5;30;28;35;24;42;;;;;;;;;;;;;;;;;;;;;;;
10.03.2018;40;34;8;49;35;19;;;;;;;;;;;;;;;;;;;;;;;
14.03.2018;18;48;13;38;30;45;;;;;;;;;;;;;;;;;;;;;;;
17.03.2018;7;29;1;22;17;46;;;;;;;;;;;;;;;;;;;;;;;
21.03.2018;38;48;26;29;20;43;;;;;;;;;;;;;;;;;;;;;;;
24.03.2018;16;27;34;3;42;45;;;;;;;;;;;;;;;;;;;;;;;
28.03.2018;1;47;31;38;23;25;;;;;;;;;;;;;;;;;;;;;;;
31.03.2018;15;8;1;46;12;48;;;;;;;;;;;;;;;;;;;;;;;
